time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
11.98,0.992354,0.118187,-0.0190937,-0.00129671,0.839682,-0.542247,0,0,1
11.99,0.992347,0.118431,-0.0179445,-0.00135077,0.84491,-0.534065,0,0,1
12,0.992339,0.118665,-0.0167939,-0.00140698,0.850053,-0.52584,0,0,1
12.01,0.992324,0.118951,-0.0156439,-0.00151753,0.855103,-0.517587,0,0,1
12.02,0.992315,0.119165,-0.0144969,-0.00157667,0.86005,-0.509326,0,0,1
12.03,0.992308,0.119362,-0.0133461,-0.00163149,0.864924,-0.501003,0,0,1
12.04,0.992305,0.119512,-0.0121874,-0.00165464,0.869744,-0.492589,0,0,1
12.05,0.99231,0.119582,-0.0110054,-0.00161536,0.874571,-0.483965,0,0,1
12.06,0.992318,0.119622,-0.00981166,-0.0015586,0.879358,-0.475213,0,0,1
12.07,0.992321,0.119689,-0.00859611,-0.00153509,0.88414,-0.466255,0,0,1
12.08,0.992334,0.119658,-0.00737597,-0.00143487,0.888848,-0.457217,0,0,1
12.09,0.992359,0.11952,-0.00616716,-0.00124959,0.893424,-0.448209,0,0,1
12.1,0.99239,0.119325,-0.00495356,-0.00102193,0.897933,-0.439107,0,0,1
12.11,0.992432,0.119014,-0.00374399,-0.000700255,0.902344,-0.429971,0,0,1
12.12,0.992448,0.118918,-0.00254351,-0.00058339,0.906637,-0.420844,0,0,1
12.13,0.992467,0.118775,-0.00134375,-0.000434723,0.910839,-0.41167,0,0,1
12.14,0.992491,0.118581,-0.000138777,-0.000249399,0.914972,-0.402401,0,0,1
12.15,0.992502,0.118483,0.00106477,-0.000162776,0.919011,-0.39309,0,0,1
12.16,0.992517,0.118341,0.00226774,-4.75532e-05,0.922957,-0.383733,0,0,1
12.17,0.992533,0.118181,0.0034704,7.43848e-05,0.926811,-0.374328,0,0,1
12.18,0.992598,0.117593,0.00468094,0.000585399,0.930606,-0.364791,0,0,1
12.19,0.992646,0.117131,0.005878,0.000969104,0.934278,-0.355281,0,0,1
12.2,0.992691,0.116686,0.00706755,0.00132644,0.937844,-0.345756,0,0,1
12.21,0.992735,0.116232,0.00825559,0.00168216,0.941322,-0.336171,0,0,1
12.22,0.992764,0.115894,0.00942662,0.00191879,0.944665,-0.326657,0,0,1
12.23,0.992784,0.115621,0.010592,0.00208325,0.947905,-0.31713,0,0,1
12.24,0.992799,0.115376,0.0117623,0.00220925,0.951069,-0.30751,0,0,1
12.25,0.992815,0.115119,0.0129126,0.00233694,0.954091,-0.298001,0,0,1
12.26,0.992837,0.114786,0.0140741,0.00252632,0.957053,-0.288346,0,0,1
12.27,0.992854,0.114495,0.015205,0.00266847,0.95985,-0.278892,0,0,1
12.28,0.992857,0.11432,0.0163312,0.00268698,0.962549,-0.269429,0,0,1
12.29,0.992864,0.114094,0.0174481,0.00274622,0.965138,-0.260003,0,0,1
12.3,0.992855,0.113988,0.0185735,0.0026769,0.967657,-0.250467,0,0,1
12.31,0.992864,0.113725,0.0197076,0.00274729,0.970103,-0.240816,0,0,1
12.32,0.992883,0.113353,0.0208374,0.00291384,0.972451,-0.231151,0,0,1
12.33,0.992903,0.112961,0.0219709,0.00308747,0.974717,-0.221399,0,0,1
12.34,0.992913,0.112652,0.0230955,0.00317047,0.976875,-0.211671,0,0,1
12.35,0.992917,0.11238,0.0242106,0.00320759,0.978925,-0.201979,0,0,1
12.36,0.992934,0.111982,0.0253407,0.00335431,0.98091,-0.192107,0,0,1
12.37,0.992975,0.111358,0.0264732,0.00371145,0.982806,-0.18215,0,0,1
12.38,0.993022,0.110658,0.0276087,0.00413127,0.984616,-0.172087,0,0,1
12.39,0.993077,0.109876,0.0287475,0.00461798,0.986339,-0.16191,0,0,1
12.4,0.993134,0.109055,0.0298823,0.00513213,0.987962,-0.151676,0,0,1
12.41,0.993162,0.108477,0.0310177,0.00539155,0.98949,-0.141355,0,0,1
12.42,0.99321,0.107714,0.032137,0.00582594,0.990898,-0.131102,0,0,1
12.43,0.993254,0.106961,0.0332599,0.00623597,0.992213,-0.120729,0,0,1
12.44,0.993292,0.106252,0.034375,0.00659148,0.993419,-0.110344,0,0,1
12.45,0.993328,0.105553,0.0354844,0.00692459,0.994518,-0.0999316,0,0,1
12.46,0.993373,0.104743,0.0365952,0.00735465,0.995515,-0.0894199,0,0,1
12.47,0.993417,0.103944,0.0376692,0.00777213,0.996379,-0.0791692,0,0,1
12.48,0.99346,0.103139,0.0387329,0.008186,0.997137,-0.0689294,0,0,1
12.49,0.993496,0.102383,0.0397881,0.00854043,0.997789,-0.0586861,0,0,1
12.5,0.993528,0.101659,0.0408306,0.00885444,0.998334,-0.0484879,0,0,1
12.51,0.993583,0.100693,0.0418682,0.00939847,0.998774,-0.0382476,0,0,1
12.52,0.993647,0.0996315,0.0428909,0.0100309,0.999106,-0.0280475,0,0,1
12.53,0.993702,0.098638,0.0438911,0.0105897,0.999332,-0.0179667,0,0,1
12.54,0.993767,0.0975311,0.0448867,0.0112498,0.999456,-0.00782231,0,0,1
12.55,0.993828,0.0964521,0.0458542,0.0118798,0.999477,0.00214741,0,0,1
12.56,0.993875,0.0955039,0.0468133,0.0123677,0.9994,0.0121349,0,0,1
12.57,0.993926,0.0945133,0.0477326,0.0129038,0.999229,0.021804,0,0,1
12.58,0.993981,0.093459,0.048659,0.013486,0.998958,0.0316526,0,0,1
12.59,0.994034,0.0924077,0.0495746,0.0140561,0.998589,0.0414929,0,0,1
12.6,0.994076,0.0914575,0.0504772,0.0145171,0.998127,0.0512945,0,0,1
12.61,0.994129,0.0903837,0.0513687,0.0150939,0.997568,0.0610783,0,0,1
12.62,0.994187,0.0892313,0.0522495,0.0157401,0.996911,0.0708588,0,0,1
12.63,0.994246,0.0880637,0.0531089,0.0163985,0.996167,0.0805204,0,0,1
12.64,0.994313,0.086776,0.0539528,0.0171706,0.99533,0.0901325,0,0,1
12.65,0.994372,0.0855748,0.0547899,0.0178439,0.994395,0.0997968,0,0,1
12.66,0.994428,0.0843899,0.0556062,0.0184984,0.993379,0.109344,0,0,1
12.67,0.994474,0.0833089,0.0564079,0.019043,0.992278,0.118836,0,0,1
12.68,0.994517,0.0822403,0.0571998,0.0195667,0.991086,0.128323,0,0,1
12.69,0.994556,0.0812152,0.0579946,0.0200298,0.989781,0.137955,0,0,1
12.7,0.994604,0.0800497,0.0587846,0.0206198,0.98837,0.147646,0,0,1
12.71,0.99465,0.0788953,0.0595586,0.0211939,0.986873,0.157264,0,0,1
12.72,0.994696,0.0777239,0.060328,0.0217713,0.985268,0.166953,0,0,1
12.73,0.994742,0.0765337,0.0610899,0.0223556,0.983558,0.176677,0,0,1
12.74,0.994771,0.0755346,0.0618466,0.0227384,0.981742,0.186456,0,0,1
12.75,0.994792,0.0746436,0.0625875,0.0230115,0.979848,0.196134,0,0,1
12.76,0.994814,0.0737172,0.06333,0.023303,0.977829,0.205931,0,0,1
12.77,0.994844,0.0726691,0.0640712,0.0236987,0.975684,0.215823,0,0,1
12.78,0.994876,0.0715667,0.0648109,0.0241312,0.973408,0.225818,0,0,1
12.79,0.994908,0.0704401,0.0655499,0.0245692,0.970995,0.235936,0,0,1
12.8,0.994939,0.0693256,0.0662667,0.0249964,0.968512,0.245884,0,0,1
12.81,0.994969,0.0682149,0.0669651,0.0254187,0.965955,0.255706,0,0,1
12.82,0.994995,0.0671493,0.0676409,0.0258001,0.963343,0.265339,0,0,1
12.83,0.995027,0.0659941,0.068313,0.0262535,0.960603,0.275051,0,0,1
12.84,0.995057,0.0648471,0.0689678,0.026697,0.95779,0.284651,0,0,1
12.85,0.995093,0.0636128,0.0696014,0.0272263,0.95492,0.294085,0,0,1
12.86,0.995128,0.0623499,0.0702327,0.0277649,0.951909,0.303642,0,0,1
12.87,0.995162,0.0610909,0.0708503,0.0282931,0.948808,0.313152,0,0,1
12.88,0.995196,0.0598133,0.0714619,0.0288239,0.945575,0.322735,0,0,1
12.89,0.995234,0.0584404,0.0720658,0.0294308,0.94221,0.332376,0,0,1
12.9,0.995272,0.0570495,0.0726599,0.0300417,0.938722,0.34205,0,0,1
12.91,0.995312,0.0555925,0.0732371,0.0307094,0.935145,0.351654,0,0,1
12.92,0.995352,0.0541116,0.073807,0.0313818,0.931419,0.36135,0,0,1
12.93,0.995386,0.0527053,0.0743607,0.0319778,0.927603,0.370987,0,0,1
12.94,0.995417,0.0513417,0.0748968,0.0325307,0.923711,0.380525,0,0,1
12.95,0.99544,0.0501066,0.0754204,0.0329559,0.919719,0.39004,0,0,1
12.96,0.995465,0.0488365,0.075922,0.0334196,0.915701,0.399344,0,0,1
12.97,0.995483,0.0476986,0.0764128,0.0337531,0.91158,0.408634,0,0,1
