time,p00,p01,p10,p11
5.58,0.25,0,0.249901,9.92439e-05
5.59,0.25,0,0.249944,5.56904e-05
5.6,0.25,0,0.249975,2.46298e-05
5.61,0.25,0,0.249994,6.06604e-06
5.62,0.25,0,0.25,1.37298e-09
5.63,0.25,0,0.249994,6.43657e-06
5.64,0.25,0,0.249975,2.53708e-05
5.65,0.25,0,0.249943,5.68018e-05
5.66,0.25,0,0.249899,0.000100726
5.67,0.25,0,0.249843,0.000157137
5.68,0.25,0,0.249774,0.000226028
5.69,0.25,0,0.249693,0.000307391
5.7,0.25,0,0.249599,0.000401215
5.71,0.25,0,0.249493,0.000507489
5.72,0.25,0,0.249374,0.000626199
5.73,0.25,0,0.249243,0.000757331
5.74,0.25,0,0.249099,0.000900869
5.75,0.25,0,0.248943,0.00105679
5.76,0.25,0,0.248775,0.00122509
5.77,0.25,0,0.248594,0.00140572
5.78,0.25,0,0.248401,0.00159869
5.79,0.25,0,0.248196,0.00180395
5.8,0.25,0,0.247979,0.00202149
5.81,0.25,0,0.247749,0.00225127
5.82,0.25,0,0.247507,0.00249328
5.83,0.25,0,0.247253,0.00274747
5.84,0.25,0,0.246986,0.00301382
5.85,0.25,0,0.246708,0.00329229
5.86,0.25,0,0.246417,0.00358285
5.87,0.25,0,0.246115,0.00388546
5.88,0.25,0,0.2458,0.00420008
5.89,0.25,0,0.245473,0.00452668
5.9,0.25,0,0.245135,0.00486522
5.91,0.25,0,0.244784,0.00521564
5.92,0.25,0,0.244422,0.00557792
5.93,0.25,0,0.244048,0.005952
5.94,0.25,0,0.243662,0.00633783
5.95,0.25,0,0.243265,0.00673537
5.96,0.25,0,0.242855,0.00714457
5.97,0.25,0,0.242435,0.00756537
5.98,0.25,0,0.242002,0.00799773
5.99,0.25,0,0.241558,0.00844159
6,0.25,0,0.241103,0.00889689
6.01,0.25,0,0.240636,0.00936359
6.02,0.25,0,0.240158,0.00984161
6.03,0.25,0,0.239669,0.0103309
6.04,0.25,0,0.239169,0.0108314
