time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
76.7,0.0931564,-0.962026,0.256568,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
77.7,0.10842,-0.737202,-0.666917,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
78.69,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.0577395,-0.285063,0.956768,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
79.69,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.086984,-0.954581,0.284972,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
80.69,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.0929586,-0.748402,-0.656699,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
81.68,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.104589,0.146599,-0.983651,0.132256,0.0443579,-0.990223,-0.135836,0.0377047,0.990014,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
82.68,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.104589,0.146599,-0.983651,0.132256,0.0443579,-0.990223,-0.130918,-0.823666,0.551756,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
83.68,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.104589,0.146599,-0.983651,0.132256,0.0443579,-0.990223,-0.206334,-0.897736,-0.389225,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
84.68,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.104589,0.146599,-0.983651,0.132256,0.0443579,-0.990223,-0.232755,-0.137113,-0.962822,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
85.67,0.118065,-0.0542067,-0.991525,0.132256,0.0443579,-0.990223,0.104589,0.146599,-0.983651,0.132256,0.0443579,-0.990223,-0.23242,-0.0395499,-0.971811,0.132256,0.0443579,-0.990223,0.321207,-0.698558,0.639408,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
