time,x,y,z,microwave_val
0.442,0.42803,0.00356712,0.904686,0.957558
0.443,0.428934,0.00361522,0.904258,0.960392
0.444,0.429843,0.00312769,0.903831,0.963131
0.445,0.430754,0.0024437,0.903406,0.965773
0.446,0.431654,0.00310647,0.902977,0.968319
0.447,0.432549,0.00413079,0.902546,0.970767
0.448,0.433448,0.00439013,0.902113,0.973119
0.449,0.434357,0.00384243,0.901683,0.975373
0.45,0.435257,0.00412699,0.90125,0.97753
0.451,0.436137,0.00591508,0.900814,0.979589
0.452,0.437046,0.00523294,0.900376,0.98155
0.453,0.43796,0.0038421,0.899938,0.983413
0.454,0.438866,0.00313264,0.899501,0.985178
0.455,0.439774,0.00160799,0.899062,0.986844
0.456,0.440672,0.00121647,0.898619,0.988411
0.457,0.441572,0.000979843,0.898179,0.98988
0.458,0.442471,0.000898677,0.897738,0.991249
0.459,0.443369,0.000738649,0.897295,0.99252
0.46,0.444268,-2.63844e-05,0.896854,0.993691
0.461,0.445163,0.00203705,0.896415,0.994763
0.462,0.446057,0.00240596,0.89597,0.995735
0.463,0.446953,0.00245172,0.895525,0.996608
0.464,0.447827,0.00503818,0.895078,0.997381
0.465,0.448712,0.00591792,0.894631,0.998054
0.466,0.449625,0.00424119,0.894181,0.998628
0.467,0.45053,0.00278317,0.89373,0.999102
0.468,0.451412,0.00428849,0.893279,0.999476
0.469,0.452292,0.00552744,0.892828,0.999749
0.47,0.453209,0.00278454,0.892375,0.999923
0.471,0.45411,0.000688164,0.891923,0.999997
0.472,0.454998,0.00184,0.891468,0.999971
0.473,0.455893,0.000186066,0.891012,0.999845
0.474,0.456784,-0.000532992,0.890556,0.999619
0.475,0.457669,0.00229566,0.8901,0.999293
0.476,0.458545,0.00422223,0.88964,0.998867
0.477,0.459437,0.00394969,0.889182,0.998341
0.478,0.460318,0.00488424,0.888725,0.997715
0.479,0.461211,0.00443176,0.888264,0.99699
0.48,0.46209,0.00521045,0.887799,0.996165
0.481,0.462955,0.00691284,0.887337,0.99524
0.482,0.463834,0.00745179,0.886874,0.994216
0.483,0.464729,0.00699691,0.886412,0.993092
0.484,0.465621,0.0065774,0.885948,0.991869
0.485,0.466534,0.0043077,0.885482,0.990547
0.486,0.467412,0.00513544,0.885018,0.989125
0.487,0.468295,0.00510361,0.884546,0.987605
0.488,0.4692,0.00264529,0.884078,0.985986
0.489,0.470088,0.00249628,0.883615,0.984269
0.49,0.470964,0.00348537,0.883142,0.982453
0.491,0.471859,0.00183137,0.882676,0.980538
0.492,0.472731,0.00374991,0.882204,0.978526
0.493,0.473595,0.00551134,0.88173,0.976416
0.494,0.474498,0.003122,0.881256,0.974208
0.495,0.475371,0.00419783,0.880782,0.971903
0.496,0.476237,0.00570758,0.880307,0.969501
0.497,0.477101,0.0070526,0.879834,0.967001
0.498,0.478004,0.00532892,0.879358,0.964405
0.499,0.478887,0.00501866,0.878882,0.961713
0.5,0.479776,0.0040057,0.878404,0.958924
0.501,0.480659,0.00332806,0.877923,0.95604
0.502,0.481541,0.00306219,0.877445,0.95306
0.503,0.482403,0.00490623,0.876964,0.949984
0.504,0.483282,0.00475486,0.876482,0.946814
0.505,0.484154,0.00500147,0.875996,0.943549
0.506,0.485028,0.00527965,0.875513,0.940189
0.507,0.485895,0.00597958,0.875028,0.936736
0.508,0.486736,0.00829742,0.874543,0.933189
0.509,0.487602,0.0087682,0.874055,0.929548
0.51,0.488464,0.00941294,0.873567,0.925815
0.511,0.489276,0.0121881,0.873079,0.921989
0.512,0.490135,0.0127614,0.872589,0.91807
0.513,0.491007,0.0128427,0.872103,0.91406
0.514,0.491848,0.0139931,0.871612,0.909959
0.515,0.492697,0.0147404,0.871119,0.905767
0.516,0.493605,0.0134495,0.870625,0.901484
0.517,0.494512,0.0122617,0.870141,0.897111
0.518,0.495372,0.0126586,0.869647,0.892648
