time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0.89,0.0159794,-0.764088,0.644914,0.0159794,-0.764088,0.644914,0.0159794,-0.764088,0.644914,0.0159794,-0.764088,0.644914,0.0159794,-0.764088,0.644914
0.9,0.0160718,-0.770537,0.637192,0.0160718,-0.770537,0.637192,0.0160718,-0.770537,0.637192,0.0160718,-0.770537,0.637192,0.0160718,-0.770537,0.637192
0.91,0.0160704,-0.776861,0.629467,0.0160704,-0.776861,0.629467,0.0160704,-0.776861,0.629467,0.0160704,-0.776861,0.629467,0.0160704,-0.776861,0.629467
0.92,0.0159231,-0.783136,0.621647,0.0159231,-0.783136,0.621647,0.0159231,-0.783136,0.621647,0.0159231,-0.783136,0.621647,0.0159231,-0.783136,0.621647
0.93,0.0158412,-0.789328,0.613767,0.0158412,-0.789328,0.613767,0.0158412,-0.789328,0.613767,0.0158412,-0.789328,0.613767,0.0158412,-0.789328,0.613767
0.94,0.0157408,-0.795397,0.605885,0.0157408,-0.795397,0.605885,0.0157408,-0.795397,0.605885,0.0157408,-0.795397,0.605885,0.0157408,-0.795397,0.605885
0.95,0.0156064,-0.801374,0.59796,0.0156064,-0.801374,0.59796,0.0156064,-0.801374,0.59796,0.0156064,-0.801374,0.59796,0.0156064,-0.801374,0.59796
0.96,0.0155228,-0.807157,0.590132,0.0155228,-0.807157,0.590132,0.0155228,-0.807157,0.590132,0.0155228,-0.807157,0.590132,0.0155228,-0.807157,0.590132
0.97,0.0154688,-0.81284,0.582281,0.0154688,-0.81284,0.582281,0.0154688,-0.81284,0.582281,0.0154688,-0.81284,0.582281,0.0154688,-0.81284,0.582281
0.98,0.0154257,-0.818504,0.574294,0.0154257,-0.818504,0.574294,0.0154257,-0.818504,0.574294,0.0154257,-0.818504,0.574294,0.0154257,-0.818504,0.574294
0.99,0.0153094,-0.824108,0.566225,0.0153094,-0.824108,0.566225,0.0153094,-0.824108,0.566225,0.0153094,-0.824108,0.566225,0.0153094,-0.824108,0.566225
1,0.01524,-0.829656,0.558067,0.01524,-0.829656,0.558067,0.01524,-0.829656,0.558067,0.01524,-0.829656,0.558067,0.01524,-0.829656,0.558067
1.01,0.0151167,-0.83506,0.549951,0.0151167,-0.83506,0.549951,0.0151167,-0.83506,0.549951,0.0151167,-0.83506,0.549951,0.0151167,-0.83506,0.549951
1.02,0.0151762,-0.8404,0.541754,0.0151762,-0.8404,0.541754,0.0151762,-0.8404,0.541754,0.0151762,-0.8404,0.541754,0.0151762,-0.8404,0.541754
1.03,0.0152585,-0.845656,0.533509,0.0152585,-0.845656,0.533509,0.0152585,-0.845656,0.533509,0.0152585,-0.845656,0.533509,0.0152585,-0.845656,0.533509
1.04,0.0154871,-0.850849,0.525183,0.0154871,-0.850849,0.525183,0.0154871,-0.850849,0.525183,0.0154871,-0.850849,0.525183,0.0154871,-0.850849,0.525183
1.05,0.0156472,-0.855938,0.516842,0.0156472,-0.855938,0.516842,0.0156472,-0.855938,0.516842,0.0156472,-0.855938,0.516842,0.0156472,-0.855938,0.516842
1.06,0.0158553,-0.860847,0.508617,0.0158553,-0.860847,0.508617,0.0158553,-0.860847,0.508617,0.0158553,-0.860847,0.508617,0.0158553,-0.860847,0.508617
1.07,0.0161667,-0.865732,0.500247,0.0161667,-0.865732,0.500247,0.0161667,-0.865732,0.500247,0.0161667,-0.865732,0.500247,0.0161667,-0.865732,0.500247
1.08,0.0164736,-0.87049,0.49191,0.0164736,-0.87049,0.49191,0.0164736,-0.87049,0.49191,0.0164736,-0.87049,0.49191,0.0164736,-0.87049,0.49191
1.09,0.0168371,-0.875201,0.483467,0.0168371,-0.875201,0.483467,0.0168371,-0.875201,0.483467,0.0168371,-0.875201,0.483467,0.0168371,-0.875201,0.483467
1.1,0.0171677,-0.879811,0.475013,0.0171677,-0.879811,0.475013,0.0171677,-0.879811,0.475013,0.0171677,-0.879811,0.475013,0.0171677,-0.879811,0.475013
1.11,0.0175585,-0.884293,0.466603,0.0175585,-0.884293,0.466603,0.0175585,-0.884293,0.466603,0.0175585,-0.884293,0.466603,0.0175585,-0.884293,0.466603
1.12,0.0179202,-0.888733,0.458076,0.0179202,-0.888733,0.458076,0.0179202,-0.888733,0.458076,0.0179202,-0.888733,0.458076,0.0179202,-0.888733,0.458076
1.13,0.0183163,-0.893092,0.449502,0.0183163,-0.893092,0.449502,0.0183163,-0.893092,0.449502,0.0183163,-0.893092,0.449502,0.0183163,-0.893092,0.449502
1.14,0.0187234,-0.89734,0.440943,0.0187234,-0.89734,0.440943,0.0187234,-0.89734,0.440943,0.0187234,-0.89734,0.440943,0.0187234,-0.89734,0.440943
1.15,0.0191297,-0.901515,0.432325,0.0191297,-0.901515,0.432325,0.0191297,-0.901515,0.432325,0.0191297,-0.901515,0.432325,0.0191297,-0.901515,0.432325
1.16,0.0194983,-0.905678,0.423518,0.0194983,-0.905678,0.423518,0.0194983,-0.905678,0.423518,0.0194983,-0.905678,0.423518,0.0194983,-0.905678,0.423518
1.17,0.0200202,-0.909745,0.414685,0.0200202,-0.909745,0.414685,0.0200202,-0.909745,0.414685,0.0200202,-0.909745,0.414685,0.0200202,-0.909745,0.414685
1.18,0.0205394,-0.913662,0.405955,0.0205394,-0.913662,0.405955,0.0205394,-0.913662,0.405955,0.0205394,-0.913662,0.405955,0.0205394,-0.913662,0.405955
1.19,0.0210712,-0.917524,0.397122,0.0210712,-0.917524,0.397122,0.0210712,-0.917524,0.397122,0.0210712,-0.917524,0.397122,0.0210712,-0.917524,0.397122
1.2,0.02168,-0.921301,0.388246,0.02168,-0.921301,0.388246,0.02168,-0.921301,0.388246,0.02168,-0.921301,0.388246,0.02168,-0.921301,0.388246
1.21,0.0222859,-0.924952,0.379429,0.0222859,-0.924952,0.379429,0.0222859,-0.924952,0.379429,0.0222859,-0.924952,0.379429,0.0222859,-0.924952,0.379429
1.22,0.0228918,-0.928527,0.370558,0.0228918,-0.928527,0.370558,0.0228918,-0.928527,0.370558,0.0228918,-0.928527,0.370558,0.0228918,-0.928527,0.370558
1.23,0.0233842,-0.932056,0.361558,0.0233842,-0.932056,0.361558,0.0233842,-0.932056,0.361558,0.0233842,-0.932056,0.361558,0.0233842,-0.932056,0.361558
