time,x,y,z,microwave_val
0.327,-0.00432051,-0.321343,0.947581,-0.991767
0.328,-0.00504658,-0.32228,0.94726,-0.990437
0.329,-0.00473965,-0.323232,0.946938,-0.989008
0.33,-0.00551257,-0.324167,0.946616,-0.98748
0.331,-0.0055353,-0.325113,0.946293,-0.985853
0.332,-0.00545506,-0.326061,0.945969,-0.984128
0.333,-0.00470493,-0.327019,0.945644,-0.982304
0.334,-0.00359472,-0.327979,0.945317,-0.980382
0.335,-0.0017771,-0.328939,0.944989,-0.978362
0.336,-0.00142334,-0.329887,0.944662,-0.976244
0.337,-0.00250481,-0.330826,0.944334,-0.974028
0.338,-0.0026265,-0.331769,0.944003,-0.971715
0.339,-0.00161508,-0.33272,0.943672,-0.969305
0.34,0.000124874,-0.333668,0.943341,-0.966798
0.341,-0.000523209,-0.33461,0.943006,-0.964194
0.342,0.00123936,-0.335551,0.942671,-0.961494
0.343,0.00149,-0.336493,0.942335,-0.958698
0.344,0.000815696,-0.337437,0.941998,-0.955806
0.345,-0.000606701,-0.33838,0.941661,-0.952818
0.346,-0.00195005,-0.339316,0.941323,-0.949735
0.347,-0.00294909,-0.340252,0.940988,-0.946557
0.348,-0.00326328,-0.341191,0.940651,-0.943285
0.349,-0.00311419,-0.342134,0.940311,-0.939918
0.35,-0.00233956,-0.34308,0.939968,-0.936457
0.351,-0.00276688,-0.344016,0.939621,-0.932902
0.352,-0.00479612,-0.344932,0.939274,-0.929254
0.353,-0.00373243,-0.345885,0.938931,-0.925513
0.354,-0.00354378,-0.346826,0.938585,-0.92168
0.355,-0.00345049,-0.347765,0.938236,-0.917755
0.356,-0.00112237,-0.34872,0.937894,-0.913737
0.357,-0.0013624,-0.349659,0.93755,-0.909629
0.358,-0.00151751,-0.350596,0.9372,-0.905429
0.359,-0.000925553,-0.351535,0.936849,-0.901139
0.36,0.000305481,-0.352473,0.936498,-0.896758
0.361,-0.00112363,-0.353408,0.936145,-0.892288
0.362,-0.00203276,-0.35434,0.935793,-0.887729
0.363,-0.0017178,-0.355278,0.935438,-0.883081
0.364,-0.00159722,-0.356214,0.935084,-0.878345
0.365,-0.00188137,-0.357148,0.934728,-0.873521
0.366,-0.00191873,-0.358081,0.934368,-0.868609
0.367,-0.00232608,-0.359013,0.934009,-0.863611
0.368,-0.00233727,-0.359949,0.933656,-0.858526
